시점,지역별,총인구수,출생아수,합계출산율,많이 좋아짐,약간 좋아짐,변화없음,약간 나빠짐,많이 나빠짐,스트레스인지율,음주율,흡연율,비만유병률
2000,강원특별자치도,,19482,1.600,,,,,,,,,
2000,경기도,,141704,1.628,,,,,,,,,
2000,경상남도,,41680,1.586,,,,,,,,,
2000,경상북도,,35190,1.578,,,,,,,,,
2000,광주광역시,,21148,1.636,,,,,,,,,
2000,대구광역시,,32477,1.378,,,,,,,,,
2000,대전광역시,,19570,1.501,,,,,,,,,
2000,부산광역시,,41222,1.235,,,,,,,,,
2000,서울,,133154,1.275,,,,,,,,,
2000,세종특별자치시,,-,-,,,,,,,,,
2000,울산광역시,,15816,1.633,,,,,,,,,
2000,인천광역시,,34433,1.473,,,,,,,,,
2000,전라남도,,26046,1.750,,,,,,,,,
2000,전북특별자치도,,25173,1.595,,,,,,,,,
2000,제주특별자치도,,8633,1.783,,,,,,,,,
2000,충청남도,,24733,1.698,,,,,,,,,
2000,충청북도,,19628,1.583,,,,,,,,,
2001,강원특별자치도,,16873,1.413,,,,,,,,,
2001,경기도,,126264,1.437,,,,,,,,,
2001,경상남도,,36475,1.417,,,,,,,,,
2001,경상북도,,30500,1.402,,,,,,,,,
2001,광주광역시,,18198,1.421,,,,,,,,,
2001,대구광역시,,28111,1.216,,,,,,,,,
2001,대전광역시,,17290,1.330,,,,,,,,,
2001,부산광역시,,35848,1.103,,,,,,,,,
2001,서울,,114764,1.111,,,,,,,,,
2001,세종특별자치시,,-,-,,,,,,,,,
2001,울산광역시,,13600,1.423,,,,,,,,,
2001,인천광역시,,30494,1.324,,,,,,,,,
2001,전라남도,,22588,1.566,,,,,,,,,
2001,전북특별자치도,,22192,1.426,,,,,,,,,
2001,제주특별자치도,,7453,1.564,,,,,,,,,
2001,충청남도,,21962,1.532,,,,,,,,,
2001,충청북도,,17322,1.426,,,,,,,,,
2002,강원특별자치도,,15314,1.317,,,,,,,,,
2002,경기도,,116854,1.305,,,,,,,,,
2002,경상남도,,32203,1.272,,,,,,,,,
2002,경상북도,,26022,1.232,,,,,,,,,
2002,광주광역시,,16036,1.264,,,,,,,,,
2002,대구광역시,,24260,1.076,,,,,,,,,
2002,대전광역시,,15631,1.207,,,,,,,,,
2002,부산광역시,,30767,0.975,,,,,,,,,
2002,서울,,102008,1.006,,,,,,,,,
2002,세종특별자치시,,-,-,,,,,,,,,
2002,울산광역시,,11666,1.242,,,,,,,,,
2002,인천광역시,,26775,1.185,,,,,,,,,
2002,전라남도,,19242,1.391,,,,,,,,,
2002,전북특별자치도,,19215,1.275,,,,,,,,,
2002,제주특별자치도,,6530,1.394,,,,,,,,,
2002,충청남도,,19059,1.361,,,,,,,,,
2002,충청북도,,15329,1.294,,,,,,,,,
2003,강원특별자치도,,14349,1.279,,,,,,,,,
2003,경기도,,120433,1.321,,,,,,,,,
2003,경상남도,,32102,1.290,,,,,,,,,
2003,경상북도,,25447,1.253,,,,,,,,,
2003,광주광역시,,15954,1.278,,,,,,,,,
2003,대구광역시,,24513,1.116,,,,,,,,,
2003,대전광역시,,15712,1.221,,,,,,,,,
2003,부산광역시,,30117,0.988,,,,,,,,,
2003,서울,,101227,1.014,,,,,,,,,
2003,세종특별자치시,,-,-,,,,,,,,,
2003,울산광역시,,11720,1.280,,,,,,,,,
2003,인천광역시,,26832,1.213,,,,,,,,,
2003,전라남도,,18333,1.389,,,,,,,,,
2003,전북특별자치도,,18437,1.274,,,,,,,,,
2003,제주특별자치도,,6583,1.438,,,,,,,,,
2003,충청남도,,18627,1.358,,,,,,,,,
2003,충청북도,,14650,1.270,,,,,,,,,
2004,강원특별자치도,,13776,1.261,,,,,,,,,
2004,경기도,,117812,1.280,,,,,,,,,
2004,경상남도,,30922,1.266,,,,,,,,,
2004,경상북도,,23553,1.203,,,,,,,,,
2004,광주광역시,,14729,1.203,,,,,,,,,
2004,대구광역시,,23259,1.087,,,,,,,,,
2004,대전광역시,,15024,1.181,,,,,,,,,
2004,부산광역시,,28231,0.953,,,,,,,,,
2004,서울,,99828,1.015,,,,,,,,,
2004,세종특별자치시,,-,-,,,,,,,,,
2004,울산광역시,,11151,1.241,,,,,,,,,
2004,인천광역시,,25092,1.158,,,,,,,,,
2004,전라남도,,17256,1.360,,,,,,,,,
2004,전북특별자치도,,17257,1.239,,,,,,,,,
2004,제주특별자치도,,6097,1.365,,,,,,,,,
2004,충청남도,,18640,1.357,,,,,,,,,
2004,충청북도,,14331,1.272,,,,,,,,,
2005,강원특별자치도,,12657,1.188,,,,,,,,,
2005,경기도,,109533,1.183,,,,,,,,,
2005,경상남도,,28471,1.189,,,,,,,,,
2005,경상북도,,22339,1.173,,,,,,,,,
2005,광주광역시,,13327,1.105,,,,,,,,,
2005,대구광역시,,20804,1.001,,,,,,,,,
2005,대전광역시,,13950,1.107,,,,,,,,,
2005,부산광역시,,25681,0.887,,,,,,,,,
2005,서울,,90468,0.932,,,,,,,,,
2005,세종특별자치시,,-,-,,,,,,,,,
2005,울산광역시,,10469,1.186,,,,,,,,,
2005,인천광역시,,23026,1.075,,,,,,,,,
2005,전라남도,,15818,1.290,,,,,,,,,
2005,전북특별자치도,,15745,1.184,,,,,,,,,
2005,제주특별자치도,,5734,1.310,,,,,,,,,
2005,충청남도,,17521,1.267,,,,,,,,,
